timestamp,src_ip,dst_ip,proto,dst_port,flags,length
1788346730.4108794,192.168.1.12,192.168.1.1,UDP,443,,64
1788346730.4728708,192.168.1.10,192.168.1.1,TCP,53,SA,64
1788346730.6475396,192.168.1.10,192.168.1.1,TCP,3389,SA,64
1788346730.6975396,10.0.0.77,192.168.1.1,ICMP,,,64
1788346730.7475395,10.0.0.77,192.168.1.1,ICMP,,,64
1788346730.7975395,10.0.0.77,192.168.1.1,ICMP,,,64
1788346730.8475394,10.0.0.77,192.168.1.1,ICMP,,,64
1788346730.8975394,10.0.0.77,192.168.1.1,ICMP,,,64
1788346730.9475393,10.0.0.77,192.168.1.1,ICMP,,,64
1788346730.9975393,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.0475392,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.0975392,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.1475391,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.197539,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.247539,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.297539,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.347539,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.397539,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.4475389,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.4975388,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.5475388,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.5975387,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.6475387,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.6975386,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.7475386,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.7975385,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.8475385,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.8975384,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.9475384,10.0.0.77,192.168.1.1,ICMP,,,64
1788346731.9975383,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.0475383,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.0975382,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.1475382,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.1975381,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.247538,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.297538,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.347538,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.397538,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.447538,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.4975379,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.5475378,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.5975378,10.0.0.77,192.168.1.1,ICMP,,,64
1788346732.6475377,10.0.0.77,192.168.1.1,ICMP,,,64
